Foraging rate,Species,Movement rate,Social category,Sex,Locality,Seasonality,Weater conditions,Time of day,Flock size(Species number),Flock size(Birds number),Foraging rate flocks
7.2,Setophaga cerulea,16.06299213,Flock,Male,Tamesis,28,60,10:00,32,55,7.086614173
7.058823529,Setophaga cerulea,38.82352941,Flock,Female,Fredonia,21,100,16:00,27,43,7.058823529
6.976744186,Setophaga cerulea,13.95348837,Flock,Female,Fredonia,20,,7:00,,,6.976744186
6.774193548,Setophaga cerulea,24.19354839,Flock,Male,Jerico,6,20,9:00,30,36,6.774193548
6.666666667,Setophaga cerulea,20,Flock,Male,Fredonia,19,,10:00,15,29,6.666666667
7,Setophaga cerulea,34.05405405,Flock,Female,Tamesis,24,50,14:00,21,31,6.486486486
6.44295302,Setophaga cerulea,15.30201342,Flock,Male,Tamesis,24,50,13:00,21,31,6.44295302
6.206896552,Setophaga cerulea,30,Flock,Female,Tamesis,25,100,9:00,15,25,6.206896552
6.206896552,Setophaga cerulea,28.96551724,Flock,Male,Fredonia,21,90,16:00,9,12,6.206896552
7,Setophaga cerulea,26.89655172,Flock,Male,Tamesis,28,40,17:00,33,53,6.206896552
5.874125874,Setophaga cerulea,21.81818182,Flock,Male,Fredonia,17,0,13:00,10,18,5.874125874
5.78313253,Setophaga cerulea,23.85542169,Flock,Female,Jerico,3,0,12:00,4,4,5.78313253
5.714285714,Setophaga cerulea,25.71428571,Flock,Male,Tamesis,13,0,9:00,12,20,5.714285714
5.294117647,Setophaga cerulea,26.47058824,Flock,Male,Tamesis,31,100,8:00,27,38,5.294117647
4.95412844,Setophaga cerulea,29.72477064,Flock,Male,Fredonia,18,80,9:00,18,30,4.95412844
4.931506849,Setophaga cerulea,22.19178082,Flock,Male,Jerico,3,,11:00,,,4.931506849
4.914675768,Setophaga cerulea,28.66894198,Flock,Male,Tamesis,28,40,16:00,33,53,4.914675768
4.909090909,Setophaga cerulea,31.09090909,Flock,Male,Otro,33,,13:00,36,60,4.909090909
4.639175258,Setophaga cerulea,22.57731959,Flock,Male,Fredonia,20,100,12:00,14,19,4.639175258
4.5,Setophaga cerulea,30,Flock,Male,Jerico,1,,12:00,,,4.5
4.242424242,Setophaga cerulea,29.09090909,Flock,Male,Fredonia,20,,7:00,,,4.242424242
4.137931034,Setophaga cerulea,30.77586207,Flock,Male,Tamesis,30,90,13:00,13,22,4.137931034
4,Setophaga cerulea,4,Flock,Female,Tamesis,28,60,10:00,32,55,4
3.8,Setophaga cerulea,33.75,Flock,Male,Jerico,2,20,12:00,,,3.75
3.673469388,Setophaga cerulea,28.16326531,Flock,Male,Fredonia,13,40,7:00,26,37,3.673469388
3.540372671,Setophaga cerulea,34.8447205,Flock,Male,Otro,36,0,9:00,8,10,3.540372671
3.529411765,Setophaga cerulea,30,Flock,Male,Fredonia,17,0,9:00,15,33,3.529411765
3.428571429,Setophaga cerulea,30.85714286,Flock,Male,Fredonia,20,,7:00,,,3.428571429
3.428571429,Setophaga cerulea,21.42857143,Flock,Female,Fredonia,12,,14:00,5,7,3.428571429
3.5,Setophaga cerulea,28.10126582,Flock,Male,Jerico,9,30,10:00,17,20,3.037974684
2.978723404,Setophaga cerulea,20.42553191,Flock,Male,Tamesis,25,0,11:00,10,16,2.978723404
2.857142857,Setophaga cerulea,18.57142857,Flock,Male,Fredonia,13,10,11:00,16,26,2.857142857
5.7,Setophaga cerulea,37.14285714,Flock,Male,Fredonia,17,20,10:00,12,19,2.857142857
2.790697674,Setophaga cerulea,24.41860465,Flock,Male,Fredonia,13,40,7:00,26,37,2.790697674
2.571428571,Setophaga cerulea,24,Flock,Female,Jerico,5,60,12:00,10,14,2.571428571
2.5,Setophaga cerulea,21.25,Flock,Male,Tamesis,23,100,15:00,11,19,2.5
2.4,Setophaga cerulea,14.4,Flock,Female,Jerico,5,100,8:00,14,18,2.4
2.307692308,Setophaga cerulea,20,Flock,Male,Jerico,3,30,10:00,,,2.307692308
2.307692308,Setophaga cerulea,36.92307692,Flock,Male,Fredonia,17,0,13:00,10,18,2.307692308
2.25,Setophaga cerulea,28.5,Flock,Female,Jerico,7,40,8:00,21,30,2.25
2.5,Setophaga cerulea,24.44444444,Flock,Female,Jerico,6,20,9:00,30,36,2.222222222
2.8,Setophaga cerulea,28.42105263,Flock,Male,Fredonia,17,10,15:00,20,29,2.210526316
2.6,Setophaga cerulea,32.14285714,Flock,Female,Fredonia,10,90,11:00,14,21,2.142857143
1.875,Setophaga cerulea,19.6875,Flock,Male,Tamesis,28,60,11:00,32,55,1.875
1.875,Setophaga cerulea,18.75,Flock,Female,Jerico,5,60,12:00,10,14,1.875
1.764705882,Setophaga cerulea,40.58823529,Flock,Male,Tamesis,26,0,10:00,14,20,1.764705882
1.216216216,Setophaga cerulea,17.02702703,Flock,Female,Fredonia,12,,14:00,5,7,1.216216216
0.833333333,Setophaga cerulea,16.66666667,Solitary,Male,Fredonia,18,,14:00,1,1,0.631578947
0.631578947,Setophaga cerulea,13.89473684,Flock,Male,Jerico,2,30,16:00,17,18,5.8
