species,foragingrate,movementrate,sociality,gender,locality,dayofseason,time,flocksizespecies,flocksizeind,foragingrate,movementrate,foragingrate_cont,movementrate_cont
Setophaga cerulea,5,31,Flock,Male,Otro,33,13:00,36,60,5,31,4.909090909,31.09090909
Setophaga cerulea,5,23,Flock,Male,Fredonia,20,12:00,14,19,5,23,4.639175258,22.57731959
Setophaga cerulea,5,30,Flock,Male,Jerico,1,12:00,,,5,30,4.5,30
Setophaga cerulea,4,29,Flock,Male,Fredonia,20,7:00,,,4,29,4.242424242,29.09090909
Setophaga cerulea,4,31,Flock,Male,Tamesis,30,13:00,13,22,4,31,4.137931034,30.77586207
Setophaga cerulea,4,4,Flock,Female,Tamesis,28,10:00,32,55,4,4,4,4
Setophaga cerulea,4,34,Flock,Male,Jerico,2,12:00,,,4,34,3.8,33.75
Setophaga cerulea,4,28,Flock,Male,Fredonia,13,7:00,26,37,4,28,3.673469388,28.16326531
Setophaga cerulea,4,35,Flock,Male,Otro,36,9:00,8,10,4,35,3.540372671,34.8447205
Setophaga cerulea,4,30,Flock,Male,Fredonia,17,9:00,15,33,4,30,3.529411765,30
Setophaga cerulea,3,31,Flock,Male,Fredonia,20,7:00,,,3,31,3.428571429,30.85714286
Setophaga cerulea,3,21,Flock,Female,Fredonia,12,14:00,5,7,3,21,3.428571429,21.42857143
Setophaga cerulea,4,28,Flock,Male,Jerico,9,10:00,17,20,4,28,3.5,28.10126582
Setophaga cerulea,3,20,Flock,Male,Tamesis,25,11:00,10,16,3,20,2.978723404,20.42553191
Setophaga cerulea,3,19,Flock,Male,Fredonia,13,11:00,16,26,3,19,2.857142857,18.57142857
Setophaga cerulea,6,37,Flock,Male,Fredonia,17,10:00,12,19,6,37,5.7,37.14285714
Setophaga cerulea,3,24,Flock,Male,Fredonia,13,7:00,26,37,3,24,2.790697674,24.41860465
Setophaga cerulea,3,24,Flock,Female,Jerico,5,12:00,10,14,3,24,2.571428571,24
